row_id,page,hanzi,wupin,alt_wupin,note,legacy_ipa_ocr,has_wupin,source
r01026,159,络麻,loq1mo52,mo2;mo2;mo2;mo2,,loʔofk,True,result_all_converted.xlsx
r01027,159,麻梗,mo11kuaon55,mo2;mo2;mo2;mo2kuaon3;keon3,带皮的麻杆,tmokuaŋi,True,result_all_converted.xlsx
r01028,159,麻秆,mo11keen55,mo2;mo2;mo2;mo2,不带皮的麻秆,kfmokẽlik,True,result_all_converted.xlsx
r01029,159,蕃薯,zhiu231,,白薯,fæ̃ʑy,True,result_all_converted.xlsx
r01030,159,芋节,gniu11ciq1,,,,True,result_all_converted.xlsx
r01031,159,芋头,gniu11deu11,,,,True,result_all_converted.xlsx
r01032,159,慈菇,zy11ku52,,,zku,True,result_all_converted.xlsx
r01033,159,洋芋奶,yan11gniu55na52,na4;nha5,,ffɦiaŋnynakl,True,result_all_converted.xlsx
r01034,159,土豆,thu335deu52,,,,True,result_all_converted.xlsx
r01035,159,洋蕃薯,yan11zhiu52,,,ɦiaŋfʑy,True,result_all_converted.xlsx
r01036,159,芝麻,tsy33mo52,mo2;mo2;mo2;mo2,,iktsmo,True,result_all_converted.xlsx
r01037,159,花生,huo33san52,san1;seon1,,huosaŋ,True,result_all_converted.xlsx
r01038,159,落花生,loq1huo55san52,san1;seon1,,loʔhuosaŋ,True,result_all_converted.xlsx
r01039,159,大牵花生,da11chien11huo11san11,do6san1;seon1,一种花生粒大质差,,True,result_all_converted.xlsx
r01040,159,小阳生,shiau335yan55san52,yan2;ian1san1;seon1,一种花生粒略小质好,lɕiɒɦiaŋsəŋfll,True,result_all_converted.xlsx
r01041,159,烟叶,ien33yiq5,,,kliɦiʔ,True,result_all_converted.xlsx
r01042,159,米,mi113,,大米,k,True,result_all_converted.xlsx
r01043,159,早米,tsau335mi52,,,ktsmiɤk,True,result_all_converted.xlsx
r01044,159,灿米,tshaen335mi52,,,,True,result_all_converted.xlsx
r01045,159,晚米,maen115mi52,maen4;vaen4,,kmmi,True,result_all_converted.xlsx
r01046,159,粳米,kan33mi55,,,,True,result_all_converted.xlsx
r01047,159,糯米,no11mi11,,,knomi,True,result_all_converted.xlsx
r01048,159,小米,shiau335mi52,,,lkiɒifi,True,result_all_converted.xlsx
r01049,159,谷子的籽实,kuoq3tsy55tiq5tsy55zeq54,gbon6;gbon6;gbon6tsy3;tseq7,,,True,result_all_converted.xlsx
r01050,159,高梁,kau33lian52,,,kɒliaŋ,True,result_all_converted.xlsx
r01051,159,面粉,mien115feen52,mien4;mien6;mien6;mien6,,fmiẽfẽ,True,result_all_converted.xlsx
r01052,160,第六章,di11loq1tsaon11,,,,True,result_all_converted.xlsx
r01053,160,米粉,mi115feen52,,,kif,True,result_all_converted.xlsx
r01054,160,六谷粉,loq1kuoq5feen52,gbon6;gbon6;gbon6,,loʔkuoʔfskt,True,result_all_converted.xlsx
r01055,160,玉米面,gnioq1mi55mien52,mien4;mien6;mien6;mien6,,,True,result_all_converted.xlsx
r01056,160,米栖,mi115chi52,,碎米,ktiik,True,result_all_converted.xlsx
r01057,160,麦栖,maq1chi52,,碎麦,,True,result_all_converted.xlsx
r01058,160,麸皮,fu33bi52,,麦麸子,tfbik,True,result_all_converted.xlsx
r01059,160,头,deu231,,稻穗和稻草的混合物,,True,result_all_converted.xlsx
r01060,160,稻械,dau115ya52,,打过的稻子上面还有余粒,fdɒsʔltffilli,True,result_all_converted.xlsx
r01061,160,穰糠,gniaen11khaon52,ghiaen2;gnian2,谷须和谷壳的混合物,,True,result_all_converted.xlsx
r01062,160,糠,khaon52,,谷糠,tloŋkʰɒŋ,True,result_all_converted.xlsx
r01063,160,闷糠,mheen33khaon52,mheen1;meen6,米糠,mẽkʰɒŋk,True,result_all_converted.xlsx
r01064,160,食料,zeoq1liau55,,饲料,kzəʔliɒ,True,result_all_converted.xlsx
r01065,160,菜,tshe33,,蔬菜的总称,tsʰʑ,True,result_all_converted.xlsx
r01066,160,青菜,chin33tshe55,,,itɕʰiŋttsʰ,True,result_all_converted.xlsx
r01067,160,萝萄,lo11dau52,lo2,,,True,result_all_converted.xlsx
r01068,160,药性萝萄,yaq1shin55lo55dau52,lo2,,,True,result_all_converted.xlsx
