row_id,page,hanzi,wupin,alt_wupin,note,legacy_ipa_ocr,has_wupin,source,ipa_from_wupin,ipa_conversion_status,ipa_label_source
r00094,126,笡坡,chia33pho33,,上下坡,,True,result_all_converted.xlsx,tɕʰia³³pʰɒ³³,ok,rule_from_trusted_wupin
r00095,126,坡地,pho33di55,,,lpoil,True,result_all_converted.xlsx,pʰɒ³³di⁵⁵,ok,rule_from_trusted_wupin
r00096,126,田地,dien11di55,,水田相对于旱地说,lẽillki,True,result_all_converted.xlsx,diẽ¹¹di⁵⁵,ok,rule_from_trusted_wupin
r00097,126,田,dien231,,水田相对于旱地说,llldiẽb,True,result_all_converted.xlsx,diẽ²³¹,ok,rule_from_trusted_wupin
r00098,126,大田,do11dien11,do6,旧指自有的田，现指大片的田,kldodiẽltzkl,True,result_all_converted.xlsx,dɒ¹¹diẽ¹¹,ok,rule_from_trusted_wupin
r00099,126,田脚,dien11ciaq5,,旧指租入耕种需要交租的田现指小块的水田,lldiẽtɕiaʔlfklttl,True,result_all_converted.xlsx,diẽ¹¹tɕiaʔ⁵,ok,rule_from_trusted_wupin
r00100,126,田畈,dien11paen55,paen5;faen5,地头成片的水田,lipæ̃tk,True,result_all_converted.xlsx,diẽ¹¹pæ̃⁵⁵,ok,rule_from_trusted_wupin
r00101,126,田爿,dien11baen52,,地头成片的水田,,True,result_all_converted.xlsx,diẽ¹¹bæ̃⁵²,ok,rule_from_trusted_wupin
r00102,126,田埭,dien11da55,da6;da6;da6;da6,地头成片的水田,lllklldidalik,True,result_all_converted.xlsx,diẽ¹¹da⁵⁵,ok,rule_from_trusted_wupin
r00103,126,田塍,dien11zeon52,,田间较高的小道,,True,result_all_converted.xlsx,diẽ¹¹zəŋ⁵²,ok,rule_from_trusted_wupin
r00104,126,田埂,dien11kan55,kan3;keon3,田间较高的小道,llldiẽkaŋ,True,result_all_converted.xlsx,diẽ¹¹kaŋ⁵⁵,ok,rule_from_trusted_wupin
r00105,126,湖墈田,wu11kheen55dien52,,湖边较高的水田,,True,result_all_converted.xlsx,ɦu¹¹kʰẽ⁵⁵diẽ⁵²,ok,rule_from_trusted_wupin
r00106,127,烂水低田,laen11sy11ti11dien11,sy3;se3,常年积水无法排除的低田,tklæ̃stidifkll,True,result_all_converted.xlsx,læ̃¹¹sɿ¹¹ti¹¹diẽ¹¹,ok,rule_from_trusted_wupin
r00107,127,𡏘沟,gho11keu11,,田间堆积土肥的浅坑,pt,True,result_all_converted.xlsx,ɦɒ¹¹kə¹¹,ok,rule_from_trusted_wupin
r00108,127,地,di11,,旱地,di,True,result_all_converted.xlsx,di¹¹,ok,rule_from_trusted_wupin
r00109,127,园地,yoen11di55,,菜地,ɦdil,True,result_all_converted.xlsx,ɦiø̃¹¹di⁵⁵,ok,rule_from_trusted_wupin
r00110,127,地条,di11diau11,trau1;diau2,田边菜地,didiɒll,True,result_all_converted.xlsx,di¹¹diɤ¹¹,ok,rule_from_trusted_wupin
r00111,127,田㽘,dien11gaon55,,畦间较低的小道,,True,result_all_converted.xlsx,diẽ¹¹ɡɒŋ⁵⁵,ok,rule_from_trusted_wupin
r00112,127,熟地,zoq1di55,,经过多年耕种的土地,zoʔdil,True,result_all_converted.xlsx,zoʔ¹di⁵⁵,ok,rule_from_trusted_wupin
r00113,127,荒地,huaon33di55,,,thuɒŋdil,True,result_all_converted.xlsx,huɒŋ³³di⁵⁵,ok,rule_from_trusted_wupin
r00114,127,生地,san33di55,san1;seon1,荒地,saŋdil,True,result_all_converted.xlsx,saŋ³³di⁵⁵,ok,rule_from_trusted_wupin
r00115,127,杂地,dzaq1di55,boaz,有石块的荒地,zaʔditft,True,result_all_converted.xlsx,dzaʔ¹di⁵⁵,ok,rule_from_trusted_wupin
r00116,127,沙地,so33di55,,海边含沙的耕地,lsodillk,True,result_all_converted.xlsx,sɒ³³di⁵⁵,ok,rule_from_trusted_wupin
r00117,127,陷沙地,ghaen11so11di11,ghaen6;yen6,能陷入人畜的沙地,ltɦsodillt,True,result_all_converted.xlsx,ɦæ̃¹¹sɒ¹¹di¹¹,ok,rule_from_trusted_wupin
r00118,127,碱子地,kaen335tsy55di52,cien3;cien3tsy3;tseq7,盐碱地,fkæ̃tsʔdik,True,result_all_converted.xlsx,kæ̃³³⁵tsɿ⁵⁵di⁵²,ok,rule_from_trusted_wupin
r00119,127,𡍪头,tshaeq3deu52,,边角地,,True,result_all_converted.xlsx,tsʰæʔ³də⁵²,ok,rule_from_trusted_wupin
r00120,127,疄,lin231,,畦,,True,result_all_converted.xlsx,liŋ²³¹,ok,rule_from_trusted_wupin
r00121,127,槽,zau231,za2;dzau2;zau2;zau2,地缝地沟,zɒt,True,result_all_converted.xlsx,zɤ²³¹,ok,rule_from_trusted_wupin
r00122,127,坛场,daen11dzan52,daen2;daen2;doen2;doen2,可堆放什物的空旷地,ttŋddzaŋŋit,True,result_all_converted.xlsx,dæ̃¹¹dzaŋ⁵²,ok,rule_from_trusted_wupin
r00123,127,晒场,sa33dzan33,,晾晒农作物的场地,ɡŋ,True,result_all_converted.xlsx,sa³³dzaŋ³³,ok,rule_from_trusted_wupin
r00124,127,山,saen52,,,s,True,result_all_converted.xlsx,sæ̃⁵²,ok,rule_from_trusted_wupin
r00125,127,山头,saen33deu55,,,sd,True,result_all_converted.xlsx,sæ̃³³də⁵⁵,ok,rule_from_trusted_wupin
r00126,127,山顶,saen33tin33,tin3,,llsæ̃tiŋ,True,result_all_converted.xlsx,sæ̃³³tiŋ³³,ok,rule_from_trusted_wupin
r00127,127,山脊,saen33ciq5,,,sktɕiʔt,True,result_all_converted.xlsx,sæ̃³³tɕiʔ⁵,ok,rule_from_trusted_wupin
r00128,127,山岗,saen33kaon52,,平坦的山顶,sæ̃kɒŋll,True,result_all_converted.xlsx,sæ̃³³kɒŋ⁵²,ok,rule_from_trusted_wupin
r00129,127,山腰,saen33iau55,,,,True,result_all_converted.xlsx,sæ̃³³iɤ⁵⁵,ok,rule_from_trusted_wupin
r00130,127,山脚,saen33ciaq5,,,kstɕiaʔ,True,result_all_converted.xlsx,sæ̃³³tɕiaʔ⁵,ok,rule_from_trusted_wupin
r00131,127,山岙,saen52au55,,山间平地,,True,result_all_converted.xlsx,sæ̃⁵²ɤ⁵⁵,ok,rule_from_trusted_wupin
r00132,127,山峧,saen33gau55,,山间平地,llsɡɒ,True,result_all_converted.xlsx,sæ̃³³ɡɤ⁵⁵,ok,rule_from_trusted_wupin
r00133,127,峧里,gau11li11,li4;114;li4,高处山口,,True,result_all_converted.xlsx,ɡɤ¹¹li¹¹,ok,rule_from_trusted_wupin
r00134,127,山窠罗,saen33kho55lo52,,山沟,sæ̃kʰolo,True,result_all_converted.xlsx,sæ̃³³kʰɒ⁵⁵lɒ⁵²,ok,rule_from_trusted_wupin
r00135,128,山窝窝,saen33u55u52,tn;totn;to,山沟,so,True,result_all_converted.xlsx,sæ̃³³u⁵⁵u⁵²,ok,rule_from_trusted_wupin
r00136,128,山里,saen33li55,li4;114;li4,,slik,True,result_all_converted.xlsx,sæ̃³³li⁵⁵,ok,rule_from_trusted_wupin
r00137,128,山里头,saen33li55deu52,li4;114;li4,,lsidɤ,True,result_all_converted.xlsx,sæ̃³³li⁵⁵də⁵²,ok,rule_from_trusted_wupin
r00138,128,里山,li115saen52,,指绍兴南部山区,,True,result_all_converted.xlsx,li¹¹⁵sæ̃⁵²,ok,rule_from_trusted_wupin
r00139,128,山洞,saen33don55,,,llsæ̃doŋ,True,result_all_converted.xlsx,sæ̃³³doŋ⁵⁵,ok,rule_from_trusted_wupin
r00140,128,地洞,di11don11,,,llldidoŋ,True,result_all_converted.xlsx,di¹¹doŋ¹¹,ok,rule_from_trusted_wupin
r00141,128,石宕,zaq1dan55,zaq8;zeoq8dan6;daon6,采石场,zaʔdɒŋ,True,result_all_converted.xlsx,zaʔ¹dɒŋ⁵⁵,ok,rule_from_trusted_wupin
r00142,128,溪沟,chi33keu52,,山溪,ʑitikɤl,True,result_all_converted.xlsx,tɕʰi³³kə⁵²,ok,rule_from_trusted_wupin
r00143,128,溪滩,chi33thaen52,thaen5;thaen5,山溪,tɕʰitʰ,True,result_all_converted.xlsx,tɕʰi³³tʰæ̃⁵²,ok,rule_from_trusted_wupin
r00144,128,溪坑,chi33khan52,kheon1,山溪,ttɕʰikʰaŋ,True,result_all_converted.xlsx,tɕʰi³³kʰaŋ⁵²,ok,rule_from_trusted_wupin
